1,"CBL6","GREY 7G 2.5mm2 MULTICORE","BHBHBHB","Cables",0,1,"NA","2023-07-12 12:46:58","NA"
2,"BH1","KDN400 TOP HAT FOR ADV","ADVTHKDN400","Top Hat",20,11,"NA","2023-07-12 15:34:38","NA"
3,"67","50 X 8mm LUG","CTL50-8","Kanban Stock",200,1000,"8000070","2023-07-19 11:39:25","NA"
4,"76","95MM COPPER LUG 10MM STUD BELL","CTL95-8","Kanban Stock",110,120,"8000070","2023-07-19 11:40:48","NA"
7,"lb00","Test","Test1","Labels",0,1245,"12455","2023-07-20 12:16:41","NA12"
8,"LB01","Test","MX1","Labels",0,100,"123665","2023-07-20 11:41:30","NA"
9,"con00","Test01","Test01","Consumables",0,10,"NA","2023-07-20 15:38:22","NA"
10,"BH4","Contactor Mounting Bkt (Ext)","ADV-CC50","Top Hat",0,40,"NA","2023-07-06 08:42:39","NA"
11,"BH32","E & N BRACKET FOR HPR BOARDS","033012P04","Top Hat",0,60,"NA","2023-08-04 14:46:16","NA"
12,"BH57","MSCTLINK 6 INSULATING COATING RED  WHITE & BLUE","MSCTLINK 6","Top Hat",0,10,"NA","2023-08-04 14:48:05","NA"
13,"HM88","M6 x 8 HEX MULTI HEAD SERATED SCREW ZINC PLATED FOR HIB650","F-HMHSS-M6X8","HYMOD",1,1000,"NA","2023-08-08 08:46:47","NA"
14,"HM88","M6 x 8 HEX MULTI HEAD SERATED SCREW ZINC PLATED FOR HIB650","F-HMHSS-M6X8","HYMOD",1001,2000,"NA","2023-08-08 08:50:46","NA"
15,"112","M8 X 25 HEX SET SCREW CL 8.8 Z","SSM825Z8","Kanban Stock",400,800,"8000218","2023-08-11 10:05:52","NA"
16,"46","WASHER LOAD M8X 18 X 2 HDS Z/P","WBM8182Z","Kanban Stock",500,2000,"8000218","2023-08-03 11:00:51","NA"
17,"01","Ferrule Insulated Black 1.50mm","BL015","Kanban Stock",1500,3000,"8000207","2023-08-23 09:07:38","NA"
18,"44","Blade Yellow 18mm Copper Sleeve","FB5-18CS","Kanban Stock",0,100,"8000207","2023-08-23 09:09:25","NA"
19,"47","WASHER LOAD M10 X 23 X 2.5 HDS Z/P","WLM10Z","Kanban Stock",500,1000,"8000316","2023-08-23 09:12:05","NA"
20,"171","SCREW 8-18 X 12 METAL SDS BUTTON WAFER HEAD","TSB812ZY","Kanban Stock",1000,2000,"8000316","2023-08-23 09:14:00","NA"
21,"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347","Kanban Stock",0,0,"NA","2023-08-23 10:37:06","NA"
22,"HM1","600x400 Gland Plate - 3mm Ali","6X4GP-A3","HYMOD",1,4,"NA","2023-08-25 14:40:48","NA"
23,"CBL22","6mm2 Cu/PVC Cable - Green/Yell","LS-XXXD/1C6EA","Cables",0,10,"8000071","2023-08-28 12:28:37","N/A"
24,"CBL37","35mm2 Cu/PVC Earth Cable","LS-XXXN/1C35EA","Cables",0,3,"8000318","2023-08-17 09:35:35","NA"
25,"CBL44","16mm2 Cu/PVC/PVC X-HF 110","KL-PAXN/1C16OR","Cables",0,3,"8000318","2023-08-17 09:35:49","NA"
26,"112","M8 X 25 HEX SET SCREW CL 8.8 Z","SSM825Z8","Kanban Stock",0,1200,"8000389","2023-08-29 16:24:39","NA"
27,"116","8mm Nut","3179","Kanban Stock",0,2000,"8000389","2023-08-29 16:25:12","NA"
28,"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347","Kanban Stock",0,0,"NA","2023-08-29 16:29:52","NA"
29,"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347","Kanban Stock",0,0,"NA","2023-08-29 16:30:22","NA"
30,"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347","Kanban Stock",0,0,"NA","2023-08-29 16:36:00","NA"
31,"121","SCREW M10 x 35 SET H/T GR8.8 HEX-HD","415","Kanban Stock",100,200,"8000389","2023-08-29 16:25:38","NA"
32,"58","16mm Copper Lug 8mm Stud Bell","CTL16-8","Kanban Stock",99,0,"NA","2023-08-30 09:47:58","NA"
33,"58","16mm Copper Lug 8mm Stud Bell","CTL16-8","Kanban Stock",99,0,"NA","2023-08-30 09:49:20","NA"
34,"85","240mm COPPER LUG 10mm STUD BELL","CTL240-10","Kanban Stock",30,0,"NA","2023-08-30 09:51:42","NA"
35,"BH96","EMPTY BH96","EMPTY 10","Top Hat",0,0,"NA","2023-08-29 14:39:15","NA"
36,"BH100","EMPTY BH100","EMPTY 14","Top Hat",0,0,"NA","2023-08-29 14:39:15","NA"
37,"BH2","ADV-CONTROL SWITCH","ADVTHCS3F50DV","Top Hat",34,0,"NA","2023-09-01 15:42:31","NA"
38,"BH24","HPS MED MOUNTING BRACKET","HPS_MED MT_BRKT","Top Hat",0,0,"NA","2023-09-01 15:53:05","NA"
39,"42","Ring Yellow 10mm Copper Sleeve","RL5-10CS","Kanban Stock",0,100,"NA","2023-09-06 11:31:27","NA"
40,"129","10G X 1 IN PAN XR SELF TAPPING","ST101PXZ","Kanban Stock",1000,2000,"NA","2023-09-06 11:39:18","NA"
41,"146","M6X16 PAN HD PHILIPS","060618C01","Kanban Stock",400,800,"NA","2023-09-06 11:40:56","NA"
42,"86","Narrow Palm Lug 240-10mm","CTLNP240-10","Kanban Stock",0,20,"NA","2023-09-06 11:41:52","NA"
43,"HM22","800 RaGTCT - Rail Gear Tray CT","8RaGTCT","HYMOD",0,4,"NA","2023-09-06 13:57:10","NA"
44,"HM3","700x400 Gland Plate - 2mm Ali","7X4GP-A2","HYMOD",10,0,"NA","2023-09-08 10:17:44","NA"
45,"HM4","400x400 Gland Plate - 3mm Ali","4X4GP-A3","HYMOD",1,0,"NA","2023-09-08 10:17:59","NA"
46,"HM8","800 RaCh-CBI - Rail Channel","8RACH-C","HYMOD",24,0,"NA","2023-09-08 10:18:12","NA"
47,"128","128-empty","empty128","Kanban Stock",0,0,"NA","2023-09-12 16:15:42","NA"
48,"HM1","600x400 Gland Plate - 3mm Ali","6X4GP-A3","HYMOD",3,0,"NA","2023-09-15 09:57:32","NA"
49,"76","95MM COPPER LUG 8MM STUD BELL","CTL95-8","Kanban Stock",90,150,"NA","2023-09-12 16:05:47","NA"
50,"HM40","Bracket L-Esc Frame 30","BrL-Ef30","HYMOD",19,370,"8000489","2023-09-20 08:56:27","NA"
51,"HM55","750x400 Part Vertical - Top","7v4PaV-T","HYMOD",0,40,"8000491","2023-09-20 08:57:37","NA"
52,"HM70","600 Meter Pan Swing Arm","6MpSa","HYMOD",1,25,"8000491","2023-09-20 08:58:12","NA"
53,"CBL50","95mm2 Cu/PVC/PVC X-HF 110","KL-PAXN/1C95OR","Cables",0,3,"NA","2023-09-11 10:33:12","NA"
54,"CBL54","Cu 240mm² Orange Flexible","KL-PAXN/1C240OR","Cables",0,3,"NA","2023-08-29 16:57:40","NA"
55,"HM131","1500 x 400 RAINHOOD 800 x700","15X4RH87","HYMOD",0,3,"NA","2023-09-25 13:12:49","NA"
56,"HM39","Bracket L3-65 CBI Standard 8 Hole","BrL3-65S-8","HYMOD",37,363,"NA","2023-09-25 13:16:38","NA"
57,"HM87","Screw M6x14 T25 -2000 Box","HSM6-2K","HYMOD",0,0,"NA","2023-09-25 13:39:25","NA"
58,"HM24","400 RaM - Rail Mount","4RaM","HYMOD",24,0,"NA","2023-09-25 14:05:17","NA"
59,"HM57","150x400 Part Vertical - Top","1v4PaV-T","HYMOD",16,30,"8000491","2023-09-25 14:25:13","NA"
60,"HM60","600 Esc Frame Bottom","6EfB","HYMOD",3,0,"NA","2023-09-25 14:39:05","NA"
61,"HM64","700x50 Part Hori Cent","7x0vPaHC","HYMOD",14,0,"NA","2023-09-25 14:40:59","NA"
62,"HM84","Vent Cover Double Filter","VCDF","HYMOD",2,0,"NA","2023-09-25 15:01:28","NA"
63,"HM128","700x400 Rain Hood 77","7x4RH77","HYMOD",1,0,"NA","2023-09-25 15:24:12","NA"
64,"131","RIVET BLIND ALUM DOME (ASP-5-4)","RAS54","Kanban Stock",0,1500,"8000520","2023-09-27 08:59:24","NA"
65,"48","WASHER LOAD M12","WLM12Z","Kanban Stock",150,300,"8000522","2023-09-27 09:00:52","NA"
66,"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347","Kanban Stock",0,4500,"8000520","2023-09-27 09:09:20","NA"
67,"87","M4 x 10 MACHINE SCREW CHEESE SLOT ZP","MTM410CHSZ","Kanban Stock",500,1000,"8000520","2023-09-27 09:10:56","NA"
68,"49","SELF TAPPER 10G X ¾(20MM) PAN XR PHILLIPS ZINC","ST1034PXZ","Kanban Stock",0,1000,"8000520","2023-09-27 09:15:37","NA"
69,"46","WASHER LOAD M8X 18 X 2 HDS Z/P","WBM8182Z","Kanban Stock",1000,2000,"8000522","2023-09-27 09:25:11","NA"
70,"HM85","Vent Cover Single Filter","VCF","HYMOD",13,30,"8000491","2023-09-25 13:21:15","NA"
71,"HM81","700 Vent Cover Top IP56","7-VcT56","HYMOD",5,18,"8000491","2023-09-14 16:59:01","NA"
72,"HM58","400 Part Hori Rail-Left","4PaHRa-L","HYMOD",5,45,"8000491","2023-09-25 14:28:51","NA"
73,"HM59","400 Part Hori Rail-Right","4PaHRa-R","HYMOD",3,37,"8000491","2023-09-25 14:37:04","NA"
74,"HM107","P 56 Spacer Top","GF56-B","HYMOD",5,10,"8000491","2023-09-14 17:03:41","NA"
75,"HM119","1800 Barrier Rack-Part B","18BarRk-B","HYMOD",4,6,"8000492","2023-09-14 17:08:38","NA"
76,"HM120","1800 Barrier Rack-Part A","18BarRk-A","HYMOD",1,3,"8000492","2023-09-25 15:17:21","NA"
77,"HM123","2000 Esc Frame Side-Left","20EfS-L","HYMOD",11,10,"8000492","2023-09-14 17:08:15","NA"
