"1","Ferrule Insulated Black 1.50mm","BL015",6000,"BF-16"
"2","Ferrule Twin Black 2 x 1.5mm","BLT015",3000,"BF-16"
"3","Ferrule Insulated Grey 2.50mm","BL025",3500,"BF-16"
"4","Ferrule Insulated Grey 2.50mm Long","BL025L",1500,"BF-16"
"5","Ferrule Twin Grey 2 x 2.5mm","BLT025",1500,"BF-16"
"6","Ferrule Insulated Orange 4mm","BL040",3400,"BF-16"
"7","Ferrule 4mm x 18mm Orange","BL040XL",4500,"BF-16"
"8","Ferrule Twin Orange 2 x 4mm","BLT040",1100,"BF-16"
"9","Ferrule Insulated Green 6mm","BL060",1000,"BF-16"
"10","Ferrule Insulated Green 6mm Long","BL060XL",2100,"BF-16"
"11","Ferrule Twin Yellow 2 x 6mm","BLT060",500,"BF-16"
"12","Ferrule Insulated Brown 10mm","BL100",2400,"BF-16"
"13","Ferrule Brown 10mm2 x 18mm","BL100L",1800,"BF-16"
"14","16mm Ferrule Insulated White","BL160",1900,"BF-16"
"15","Ferrule Insulated White 16mm Long","BL160L",700,"BF-16"
"16","25mm Ferrule Insulated Black","BL250",1080,"BF-16"
"17","Ferrule Insulated Black 25mm Long","BL250L",750,"BF-16"
"18","Ferrule Insulated Red 35mm","BL350",660,"BF-16"
"19","Ferrule Insulated Red 35mm Long","BL350L",320,"BF-16"
"20","Ferrule Insulated Blue 50mm","BL500",140,"BF-16"
"21","Ferrule Insulated Yellow 70mm","BL700",280,"BF-16"
"22","Ferrule Insulated Red 95mm","BL950",0,"BF-16"
"23","Ferrule Uninsulated 10mm long","UBL100L",0,"BF-16"
"24","Ferrule Uninsulated 16mm long","UBL160L",0,"BF-16"
"25","Ferrule Uninsulated 25mm long","UBL250L",0,"BF-16"
"26","Spade Red 3mm","SL1-3",1300,"BF-16"
"27","Spade Red 3.5mm","SL1-3.5",1500,"BF-16"
"28","Spade Red 5mm","SL1-5",600,"BF-16"
"29","SPADE RED 6MM","SL1-6",2000,"BF-16"
"30","BLADE RED 10mm COPPER SLEEVE","FB1-10CS",3500,"BF-16"
"31","Ring Red 8mm","RL1-8",3600,"BF-16"
"32","Spade Blue 3mm","SL2-3",0,"BF-16"
"33","Spade Blue 3mm","SL2-3.5",2100,"BF-16"
"34","Spade Blue 5mm","SL2-5",100,"BF-16"
"35","Spade Blue 6mm Copper Sleeve","SL2-6CS",0,"BF-16"
"36","Round Lug Ring Blue 6mm","RL2-6",4000,"BF-16"
"37","RING TERMANAL STD 1.04-2.63mm","RL2-8",300,"BF-16"
"38","BLADE BLUE 13MM COPPER SLEEVE","FB2-13CS",500,"BF-16"
"39","Ring Yellow 5mm Copper Sleeve","RL5-5CS",400,"BF-16"
"40","Ring Yellow 6mm Copper Sleeve","RL5-6CS",1500,"BF-16"
"41","Ring Yellow 8mm Copper Sleeve","RL5-8CS",3800,"BF-16"
"42","Ring Yellow 10mm Copper Sleeve","RL5-10CS",0,"BF-16"
"43","Ring Yellow 12mm Copper Sleeve","RL5-12CS",0,"BF-16"
"44","Blade Yellow 18mm Copper Sleeve","FB5-18CS",0,"BF-16"
"45","Blade Yellow 10mm Copper Sleeve","FB5-10CS",0,"BF-16"
"46","WASHER LOAD M8X 18 X 2 HDS Z/P","WBM8182Z",3000,"BF-16"
"47","WASHER LOAD M10 X 23 X 2.5 HDS Z/P","WLM10Z",500,"BF-16"
"48","WASHER LOAD M12","WLM12Z",600,"BF-16"
"48.1","SPADE YELLOW 5mm","SL5-5",0,"BF-16"
"48.2","M8 X 25 MM SOCKET HEAD CAP SCREW CL 12.9 ZP","SHCSM825Z",400,"BF-16"
"49","SELF TAPPER 10GX3/4(20MM) PAN XR PHILLIPS ZINC","ST1034PXZ",0,"BF-16"
"50","SCREW THRD/CUTT TYPE 23 PAN-PH STAIN 4 X 1/4","3665202316",0,"BF-16"
"51","Drilling scrw- hexagon hd- flanged- inch SCR-SDM-HWF-WS5/ /16-(CL2)-12G_14X20","3665202420",1500,"BF-16"
"52","6mm x 8 Copper Lug","CTL6-8",0,"BF-16"
"53","10mm X 6 Copper Lug ","CTL10-6",0,"BF-16"
"54","10 X 8 Copper Lug","CTL10-8",400,"BF-16"
"55","10mm Copper Lug 10mm Stud Bell","CTL10-10",0,"BF-16"
"56","10mm Copper Lug 12mm Stud Bell","CTL10-12",0,"BF-16"
"57","16mm Copper Lug 6mm Stud Bell","CTL16-6",250,"BF-16"
"58","16mm Copper Lug 8mm Stud Bell","CTL16-8",250,"BF-16"
"59","16mm Copper Lug 10mm Stud Bell","CTL16-10",650,"BF-16"
"60","25mm Copper Lug 6mm Stud Bell","CTL25-6",400,"BF-16"
"61","25mm Copper Lug 8mm Stud Bell","CTL25-8",300,"BF-16"
"62","25mm Copper Lug 10mm Stud Bell","CTL25-10",400,"BF-16"
"63","35mm Copper Lug 6mm Stud Bell","CTL35-6",360,"BF-16"
"64","35mm Copper Lug 8mm Stud Bell","CTL35-8",600,"BF-16"
"65","35 X 10mm LUG","CTL35-10",120,"BF-16"
"66","50mm Copper Lug 6mm Stud Bell","CTL50-6",100,"BF-16"
"67","50 X 8mm LUG","CTL50-8",340,"BF-16"
"68","50 X 8mm LUG (same as 67)","CTL50-8xxx",0,"BF-16"
"69","50mm Copper Lug 10mm Stud Bell","CTL50-10",200,"BF-16"
"70","70mm Copper Lug 6mm Stud Bell","CTL70-6",160,"BF-16"
"71","Narrow Palm Lug 70-6mm","CTLNP70-6",0,"BF-16"
"72","70mm Copper Lug 8mm Stud Bell","CTL70-8",400,"BF-16"
"73","70mm Copper Lug 8mm Stud Bell (same as 72)","CTL70-8xxx",0,"BF-16"
"74","70mm Copper Lug 10mm Stud Bell","CTL70-10",100,"BF-16"
"75","Narrow Palm Lug 70-10mm","CTLNP70-10",0,"BF-16"
"76","95MM COPPER LUG 10MM STUD BELL","CTL95-8",200,"BF-16"
"77","NARROW PALM LUG 95-8mm","CTLNP95-8",200,"BF-16"
"78","95MM COPPER LUG 10MM STUD BELL","CTL95-10",320,"BF-16"
"79","95 x 10mm NARROW PALM LUG","CTLNP95-10",0,"BF-16"
"80","Narrow Palm Lug 120-10mm","CTLNP120-10",210,"BF-16"
"81","150mm Copper Lug 8mm Stud Bell","CTL150-8",320,"BF-16"
"82","150mm Cpr Lug 10mm Stud Bell","CTL150-10",100,"BF-16"
"83","Narrow Palm Lug 150-10mm","CTLNP150-10",100,"BF-16"
"84","Narrow Palm Lug 185-10mm","CTLNP185-10",100,"BF-16"
"85","240mm COPPER LUG 10mm STUD BELL","CTL240-10",30,"BF-16"
"86","Narrow Palm Lug 240-10mm","CTLNP240-10",60,"BF-16"
"87","M4 x 10 MACHINE SCREW CHEESE SLOT ZP","MTM410CHSZ",600,"BF-16"
"88","SCREW STEEL PAN-HD POZI 4X16MM","41311",200,"BF-16"
"89","4 x 20mm screw","28378",600,"BF-16"
"90","4mm Spring Washer","33031",0,"BF-16"
"91","4mm Flat Washer (small)","8344",0,"BF-16"
"92","4mm nut","3167",0,"BF-16"
"93","SCREW M5 X 30 PAN HEAD","060607P47        ",1000,"BF-16"
"94","5mm SPRING WASHER ZP","5891",0,"BF-16"
"95","5mm FLAT WASHER 5 x 10 x 1mm","8345",0,"BF-16"
"96","3/16X1/2X20G FLAT WASHER ZP","WF3161220Z       ",3400,"BF-16"
"97","M5 HEX NUT ZP","NM5Z             ",3000,"BF-16"
